eco;name;pgn;parent;move_count;id;path;color
A00;Grob Opening: Zilbermints Gambit, Schiller Defense;1. g4 d5 2. e4 dxe4 3. Nc3 h5;1. g4 d5 2. e4 dxe4 3. Nc3;6;39;img/39.webp;#4ed482
C41;Philidor Defense;1. e4 e5 2. Nf3 d6 3. Bc4 Be7;1. e4 e5 2. Nf3 d6 3. Bc4;6;2001;img/2001.webp;#a5b564
B01;Scandinavian Defense: Panov Transfer;1. e4 d5 2. exd5 Nf6 3. c4 c6;1. e4 d5 2. exd5 Nf6 3. c4;6;832;img/832.webp;#c65ca5
C00;P00;1. e4 e6 2. d4 d5 3. Nf3 dxe4;1. e4 e6 2. d4 d5 3. Nf3;6;5238;img/5238.webp;#e01676
B01;Scandinavian Defense: Icelandic-Palme Gambit;1. e4 d5 2. exd5 Nf6 3. c4 e6;1. e4 d5 2. exd5 Nf6 3. c4;6;818;img/818.webp;#c65ca5
B02;P00;1. e4 Nf6 2. e5 Nd5 3. c4 Nb6;1. e4 Nf6 2. e5 Nd5 3. c4;6;4526;img/4526.webp;#f23713
C34;King's Gambit Accepted: King's Knight's Gambit;1. e4 e5 2. f4 exf4 3. Nf3 g5;1. e4 e5 2. f4 exf4 3. Nf3;6;1874;img/1874.webp;#081525
C00;French Defense: Franco-Hiva Gambit Accepted;1. e4 e6 2. d4 f5 3. exf5 Nf6;1. e4 e6 2. d4 f5 3. exf5;6;1454;img/1454.webp;#e01676
A46;Torre Attack: Classical Defense, Nimzowitsch Variation;1. d4 Nf6 2. Nf3 e6 3. Bg5 h6;1. d4 Nf6 2. Nf3 e6 3. Bg5;6;549;img/549.webp;#dc1d9f
A46;P00;1. d4 Nf6 2. Nf3 e6 3. Nc3 d5;1. d4 Nf6 2. Nf3 e6 3. Nc3;6;4197;img/4197.webp;#dc1d9f
A49;P00;1. d4 Nf6 2. Nf3 g6 3. g3 Bg7;1. d4 Nf6 2. Nf3 g6 3. g3;6;4225;img/4225.webp;#031759
C44;P00;1. e4 e5 2. Nf3 Nc6 3. c4 Nf6;1. e4 e5 2. Nf3 Nc6 3. c4;6;5931;img/5931.webp;#b44702
D02;Queen's Gambit Accepted: Rosenthal Variation;1. d4 d5 2. Nf3 e6 3. c4 dxc4;1. d4 d5 2. Nf3 e6 3. c4;6;2680;img/2680.webp;#2f755f
D00;P00;1. d4 d5 2. e4 dxe4 3. Nc3 e5;1. d4 d5 2. e4 dxe4 3. Nc3;6;6658;img/6658.webp;#ce7cc2
C30;King's Gambit Declined: Soller-Zilbermints Gambit;1. e4 e5 2. f4 f6 3. fxe5 Nc6;1. e4 e5 2. f4 f6 3. fxe5;6;1795;img/1795.webp;#858b59
C26;P00;1. e4 e5 2. Nc3 Nf6 3. g3 Bc5;1. e4 e5 2. Nc3 Nf6 3. g3;6;5564;img/5564.webp;#905f62
A00;P00;1. g4 d5 2. Bg2 c6 3. c4 dxc4;1. g4 d5 2. Bg2 c6 3. c4;6;3469;img/3469.webp;#4ed482
A00;P00;1. g4 d5 2. Bg2 e5 3. d4 exd4;1. g4 d5 2. Bg2 e5 3. d4;6;3466;img/3466.webp;#4ed482
D22;Queen's Gambit Accepted: Alekhine Defense;1. d4 d5 2. c4 dxc4 3. Nf3 a6;1. d4 d5 2. c4 dxc4 3. Nf3;6;2810;img/2810.webp;#f516f4
E10;Indian Defense: Döry Indian;1. d4 Nf6 2. c4 e6 3. Nf3 Ne4;1. d4 Nf6 2. c4 e6 3. Nf3;6;3140;img/3140.webp;#1d0108
A40;Mikenas Defense: Lithuanian Variation;1. d4 Nc6 2. c4 e5 3. d5 Nce7;1. d4 Nc6 2. c4 e5 3. d5;6;445;img/445.webp;#8b41ba
A40;P00;1. d4 Nc6 2. d5 Nb8 3. e4 Nf6;1. d4 Nc6 2. d5 Nb8 3. e4;6;4130;img/4130.webp;#8b41ba
D21;Queen's Gambit Accepted: Slav Gambit;1. d4 d5 2. c4 dxc4 3. Nf3 b5;1. d4 d5 2. c4 dxc4 3. Nf3;6;2809;img/2809.webp;#94a3a7
D21;Queen's Gambit Accepted: Gunsberg Defense;1. d4 d5 2. c4 dxc4 3. Nf3 c5;1. d4 d5 2. c4 dxc4 3. Nf3;6;2807;img/2807.webp;#94a3a7
C50;Italian Game: Rousseau Gambit;1. e4 e5 2. Nf3 Nc6 3. Bc4 f5;1. e4 e5 2. Nf3 Nc6 3. Bc4;6;2241;img/2241.webp;#57b45c
D20;P00;1. d4 d5 2. c4 dxc4 3. e3 Nf6;1. d4 d5 2. c4 dxc4 3. e3;6;6840;img/6840.webp;#698d6e
A48;P00;1. d4 Nf6 2. Nf3 g6 3. Nc3 d5;1. d4 Nf6 2. Nf3 g6 3. Nc3;6;4212;img/4212.webp;#e3dd53
D20;Queen's Gambit Accepted: Central Variation, Modern Defense;1. d4 d5 2. c4 dxc4 3. e4 Nc6;1. d4 d5 2. c4 dxc4 3. e4;6;2794;img/2794.webp;#698d6e
A00;P00;1. g4 d5 2. e4 dxe4 3. Nc3 e5;1. g4 d5 2. e4 dxe4 3. Nc3;6;3485;img/3485.webp;#4ed482
D20;Queen's Gambit Accepted: Central Variation, Alekhine System;1. d4 d5 2. c4 dxc4 3. e4 Nf6;1. d4 d5 2. c4 dxc4 3. e4;6;2790;img/2790.webp;#698d6e
A34;P00;1. Nf3 Nf6 2. c4 c5 3. Nc3 e6;1. Nf3 Nf6 2. c4 c5 3. Nc3;6;3961;img/3961.webp;#992fa0
A39;P00;1. Nf3 Nf6 2. c4 c5 3. Nc3 d5;1. Nf3 Nf6 2. c4 c5 3. Nc3;6;3992;img/3992.webp;#158336
C00;French Defense: La Bourdonnais Variation, Reuter Gambit;1. e4 e6 2. f4 d5 3. Nf3 dxe4;1. e4 e6 2. f4 d5 3. Nf3;6;1461;img/1461.webp;#e01676
A00;P00;1. b4 e5 2. Bb2 f6 3. e4 Bxb4;1. b4 e5 2. Bb2 f6 3. e4;6;3575;img/3575.webp;#4ed482
E15;P00;1. Nf3 Nf6 2. c4 b6 3. g3 Bb7;1. Nf3 Nf6 2. c4 b6 3. g3;6;3891;img/3891.webp;#63bd62
D05;P00;1. d4 d5 2. Nf3 c5 3. g3 cxd4;1. d4 d5 2. Nf3 c5 3. g3;6;6696;img/6696.webp;#9ed6c2
B01;Scandinavian Defense: Richter Variation;1. e4 d5 2. exd5 Nf6 3. d4 g6;1. e4 d5 2. exd5 Nf6 3. d4;6;836;img/836.webp;#c65ca5
C36;King's Gambit Accepted: Modern Defense;1. e4 e5 2. f4 exf4 3. Nf3 d5;1. e4 e5 2. f4 exf4 3. Nf3;6;1885;img/1885.webp;#980382
C34;King's Gambit Accepted: Fischer Defense;1. e4 e5 2. f4 exf4 3. Nf3 d6;1. e4 e5 2. f4 exf4 3. Nf3;6;1869;img/1869.webp;#081525
C34;King's Gambit Accepted: Gianutio Countergambit;1. e4 e5 2. f4 exf4 3. Nf3 f5;1. e4 e5 2. f4 exf4 3. Nf3;6;1872;img/1872.webp;#081525
