eco;name;pgn;parent;move_count;id;path_png;path_webp;path_svg;complex;color
E20;P00;1. d4 Nf6 2. c4 e6 3. Nc3 c5 4. Nf3;1. d4 Nf6 2. c4 e6 3. Nc3 c5;7;6957;..shared/img/png/6957.png;..shared/img/webp/6957.webp;..shared/img/svg/6957.svg;P00;#655526
B00;P00;1. e4 a6 2. d4 b5 3. Nf3 Bb7 4. Bd3;1. e4 a6 2. d4 b5 3. Nf3 Bb7;7;4461;..shared/img/png/4461.png;..shared/img/webp/4461.webp;..shared/img/svg/4461.svg;P00;#39e399
A00;Polish Opening: Schuehler Gambit;1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4;1. b4 c6 2. Bb2 a5 3. b5 cxb5;7;93;..shared/img/png/93.png;..shared/img/webp/93.webp;..shared/img/svg/93.svg;Polish Opening;#bcc317
D31;P00;1. d4 d5 2. c4 e6 3. Nf3 Nf6 4. Nc3;1. d4 d5 2. c4 e6 3. Nf3 Nf6;7;7362;..shared/img/png/7362.png;..shared/img/webp/7362.webp;..shared/img/svg/7362.svg;P00;#4ffefb
C41;P00;1. e4 e5 2. Nf3 d6 3. d4 Nd7 4. Nc3;1. e4 e5 2. Nf3 d6 3. d4 Nd7;7;5868;..shared/img/png/5868.png;..shared/img/webp/5868.webp;..shared/img/svg/5868.svg;P00;#ca6c8e
B10;P00;1. e4 c6 2. d3 d5 3. Nd2 g6 4. Ngf3;1. e4 c6 2. d3 d5 3. Nd2 g6;7;4692;..shared/img/png/4692.png;..shared/img/webp/4692.webp;..shared/img/svg/4692.svg;P00;#298666
B07;P00;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3;1. e4 d6 2. d4 Nf6 3. Nc3 g6;7;4669;..shared/img/png/4669.png;..shared/img/webp/4669.webp;..shared/img/svg/4669.svg;P00;#f542d0
A30;P00;1. c4 c5 2. Nf3 Nf6 3. Nc3 e6 4. g3;1. c4 c5 2. Nf3 Nf6 3. Nc3 e6;7;3877;..shared/img/png/3877.png;..shared/img/webp/3877.webp;..shared/img/svg/3877.svg;P00;#d47f64
B06;P00;1. e4 g6 2. d4 Bg7 3. c4 d5 4. exd5;1. e4 g6 2. d4 Bg7 3. c4 d5;7;4583;..shared/img/png/4583.png;..shared/img/webp/4583.webp;..shared/img/svg/4583.svg;P00;#3b2e97
D10;P00;1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3;1. d4 d5 2. c4 c6 3. Nc3 Nf6;7;7156;..shared/img/png/7156.png;..shared/img/webp/7156.webp;..shared/img/svg/7156.svg;P00;#05a2a7
B07;Pirc Defense: Classical Variation;1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be2;1. e4 d6 2. d4 Nf6 3. Nc3 g6;7;959;..shared/img/png/959.png;..shared/img/webp/959.webp;..shared/img/svg/959.svg;Pirc Defense;#f542d0
A38;P00;1. c4 c5 2. Nc3 g6 3. g3 Bg7 4. Bg2;1. c4 c5 2. Nc3 g6 3. g3 Bg7;7;4000;..shared/img/png/4000.png;..shared/img/webp/4000.webp;..shared/img/svg/4000.svg;P00;#bba206
C41;P00;1. e4 e5 2. Nf3 d6 3. d4 f5 4. dxe5;1. e4 e5 2. Nf3 d6 3. d4 f5;7;5891;..shared/img/png/5891.png;..shared/img/webp/5891.webp;..shared/img/svg/5891.svg;P00;#ca6c8e
C39;King's Gambit Accepted: King's Knight's Gambit;1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4;1. e4 e5 2. f4 exf4 3. Nf3 g5;7;1957;..shared/img/png/1957.png;..shared/img/webp/1957.webp;..shared/img/svg/1957.svg;King's Gambit Accepted;#99bbf8
B06;P00;1. d4 g6 2. Nf3 Bg7 3. Bf4 c5 4. c3;1. d4 g6 2. Nf3 Bg7 3. Bf4 c5;7;4119;..shared/img/png/4119.png;..shared/img/webp/4119.webp;..shared/img/svg/4119.svg;P00;#3b2e97
A06;Zukertort Opening: Pachman Gambit;1. Nf3 d5 2. e3 c5 3. c4 dxc4 4. b3;1. Nf3 d5 2. e3 c5 3. c4 dxc4;7;237;..shared/img/png/237.png;..shared/img/webp/237.webp;..shared/img/svg/237.svg;Zukertort Opening;#f2062d
A13;P00;1. c4 e6 2. g3 d5 3. Bg2 Nf6 4. Nf3;1. c4 e6 2. g3 d5 3. Bg2 Nf6;7;7514;..shared/img/png/7514.png;..shared/img/webp/7514.webp;..shared/img/svg/7514.svg;P00;#0f27ce
